爱	ài	love
每	měi	each
妹妹	mèimei	sister
门	mén	door
男人	nánrén	men
您	nín	you
牛奶	niúnǎi	milk
女人	nǚrén	women
旁边	pángbiān	next
跑步	pǎobù	to run
便宜	biànyí	cheap
票	piào	ticket
妻子	qīzi	wife
起床	qǐchuáng	to get up
千	qiān	1000
晴	qíng	clear
去年	qùnián	last year
让	ràng	let
身体	shēntǐ	body
生病	shēngbìng	sick
生日	shēngri	birthday
时间	shíjiān	time
事情	shìqing	things
手表	shǒubiǎo	watch
手机	shǒujī	mobile
送	sòng	to send
所以	suǒyǐ	so
它	tā	it
踢足球	 tīzúqiú	football
题	tí	problem
跳舞	tiàowǔ	to dance
外	wài	outside
完	wán	after
玩	wán	to play
晚上	wǎnshang	night
为什么	wèishénme	why
问	wèn	to ask
问题	wèntí	problem
西瓜	xīguā	watermelon
希望	xīwàng	to hope
洗	xǐ	to wash
向	xiàng	to
小时	xiǎoshí	hour
笑	xiào	to laugh
新	xīn	new
姓	xìng	surname
休息	xiūxi	to rest
雪	xuě	snow
颜色	yánsè	color
眼睛	yǎnjing	eyes
羊肉	yángròu	lamb
药	yào	medicine
要	yào	want
也	yě	also
已经	yǐjing	already
一起	yīqǐ	with
意思	yìsi	meaning
阴	yīn	Yin
因为	yīnwei	because
游泳	yóuyǒng	to swim
右边	yòubian	right
鱼	yú	fish
元	yuán	yuan
远	yuǎn	far
运动	yùndòng	movement
再	zài	again
早上	zǎoshang	morning
张	zhāng	[cl.paper]
丈夫	zhàngfū	husband
找	zhǎo	to find
着	zhe	of
真	zhēn	true
正在	zhèngzài	[-ing form]
知道	zhīdao	to know
准备	zhǔnbèi	to prepare
自行车	zìxíngchē	bicycle
走	zǒu	to go
最	zuì	the most
左边	zuǒbiān	left

阿姨	āyí	aunt
办公室	bàngōngshì	office
帮忙	bāngmáng	to help
包	bāo	package
饱	bǎo	full
北方	běifāng	north
被	bèi	[passive]
鼻子	bízi	nose
比较	bǐjiào	more
比赛	bǐsài	match
必须	bìxū	must
变化	biànhuà	changes
表示	biǎoshì	representation
表演	biǎoyǎn	performance
别人	biéren	others
宾馆	bīnguǎn	hotel
冰箱	bīngxiāng	refrigerator
才	cái	only
菜单	càidān	menu
参加	cānjiā	to participate
草	cǎo	grass
层	céng	layer
差	chā	difference
超市	chāoshì	supermarket
衬衫	chènshān	shirt
成绩	chéngjì	result
城市	chéngshì	city
迟到	chídào	to be late
出现	chūxiàn	to emerge
厨房	chúfáng	kitchen
除了	chúle	in addition to
春	chūn	spring
词语	cíyǔ	word
聪明	cōngming	smart
打扫	dǎsǎo	to clean
打算	dǎsuan	to plan
带	dài	to bring
担心	dānxīn	to worry
蛋糕	dàngāo	cake
当然	dāngrán	of course
地	de	[part.]
灯	dēng	lamp
低	dī	low
地方	dìfang	local
地铁	dìtiě	metro
地图	dìtú	map
电梯	diàntī	elevator
电子邮件	diànzǐyóujiàn	e-mail
东	dōng	east
冬	dōng	winter
动物	dòngwù	animal
短	duǎn	short
段	duàn	section
锻炼	duànliàn	exercise
多么	duōme	how
饿	è	hungry
而且	érqiě	and
耳朵	ěrduo	ear
发烧	fāshāo	fever
发现	fāxiàn	to find
方便	fāngbiàn	convenient
放	fàng	to put
放心	fàngxīn	assured
分	fēn	minute
附近	fùjìn	near
复习	fùxí	to review
干净	gānjìng	to clean
敢	gǎn	to dare
感冒	gǎnmào	to get cold
刚才	gāngcái	just
跟	gēn	with
根据	gēnjù	according
更	gèng	more
公园	gōngyuán	park
故事	gùshi	story
刮风	guāfēng	wind
关	guān	to close
关系	guānxi	relationship
关心	guānxīn	care
关于	guānyú	about
国家	guójiā	national
果汁	guǒzhī	juice
过去	guòqù	past
还是	háishi	or
害怕	hàipà	fear
河	hé	river
黑板	hēibǎn	blackboard
护照	hùzhào	passport
花	huā	flower
花园	huāyuán	garden
画	huà	painting
坏	huài	bad
还	huán	also
还给	huángěi	back
环境	huánjìng	environment
换	huàn	to exchange
黄	huáng	yellow
会议	huìyì	meeting
或者	huòzhě	or
几乎	jīhū	almost
机会	jīhui	opportunity
极	jí	very
记得	jìde	to remember
季节	jìjié	season
检查	jiǎnchá	to check
简单	jiǎndān	simple
健康	jiànkāng	health
见面	jiànmiàn	to meet
讲	jiǎng	about
教	jiāo	education
角	jiǎo	angle
脚	jiǎo	feet
接	jiē	then
街道	jiēdào	street
结婚	jiéhūn	married
结束	jiéshù	end
节目	jiémù	program
节日	jiérì	festival
解决	jiějué	to solve
借	jiè	to borrow
经常	jīngcháng	often
经过	jīngguò	after
经理	jīnglǐ	manager
久	jiǔ	long
旧	jiù	old
举行	jǔxíng	to hold
句子	jùzi	sentence
决定	juédìng	to decide
渴	kě	thirsty
可爱	kě'ài	cute
刻	kè	engraved
客人	kèren	guest
空调	kōngdiào	air conditioning
口	kǒu	mouth
哭	kū	to cry
裤子	kùzi	pants
筷子	kuàizi	chopsticks
蓝	lán	blue
老	lǎo	old
离开	líkāi	to leave
礼物	lǐwù	gift
历史	lìshǐ	history
脸	liǎn	face
练习	liànxí	to practice
辆	liàng	[cl.vehicles]
了解	liǎojiě	to understand
邻居	línjū	neighbor
楼	lóu	floor
绿	lǜ	green
马	mǎ	horse
马上	mǎshàng	immediately
满意	mǎnyì	satisfaction
帽子	màozi	hat
米	mǐ	rice
面包	miànbāo	bread
面条	miàntiáo	noodles
明白	míngbai	to understand
拿	ná	to take
奶奶	nǎinai	grandma
南	nán	south
难过	nánguò	sad
年级	niánjí	grade
年轻	niánqīng	young
鸟	niǎo	bird
努力	nǔlì	efforts
爬山	páshān	to climb
盘子	pánzi	plate
胖	pàng	fat
啤酒	píjiǔ	beer
葡萄	pútao	grape
普通话	pǔtōnghuà	mandarin
其实	qíshí	in fact
其他	qítā	other
骑	qí	to ride
奇怪	qíguài	strange
铅笔	qiānbǐ	pencil
清楚	qīngchu	clear
秋	qiū	autumn
裙子	qúnzi	skirt
然后	ránhòu	then
热情	rèqíng	enthusiasm
认为	rènwéi	that
认真	rènzhēn	seriously
容易	róngyì	easy
如果	rúguǒ	if
生气	shēngqì	angry
伞	sǎn	umbrella
上网	shàngwǎng	internet
声音	shēngyīn	sound
使	shǐ	so
世界	shìjiè	world
瘦	shòu	thin
舒服	shūfu	comfortable
叔叔	shūshu	uncle
树	shù	tree
数学	shùxué	math
刷牙	shuāyá	brushing
双	shuāng	double
水平	shuǐpíng	level
司机	sījī	driver
虽然	suīrán	although
太阳	tàiyáng	sun
糖	táng	sugar
特别	tèbié	in particular
疼	téng	pain
提高	tígāo	improve
体育	tǐyù	sport
甜	tián	sweet
条	tiáo	[cl.long items]
同事	tóngshì	colleague
同意	tóngyì	agreed
头发	tóufa	hair
突然	tūrán	suddenly
图书馆	túshūguǎn	library
腿	tuǐ	leg
完成	wánchéng	complete
碗	wǎn	bowl
万	wàn	10000
忘记	wàngjì	to forget
为	wèi	to
为了	wèile	to
位	wèi	[cl.person]
文化	wénhuà	culture
西	xī	west
习惯	xíguàn	habits
洗手间	xǐshǒujiān	toilet
洗澡	xǐzǎo	bath
夏	xià	summer
先	xiān	first
香蕉	xiāngjiāo	banana
相同	xiāngtóng	same
相信	xiāngxìn	to believe
像	xiàng	like
小心	xiǎoxīn	careful
校长	xiàozhǎng	president
鞋	xié	shoes
新闻	xīnwén	news
新鲜	xīnxiān	fresh
信	xìn	letter
行李箱	xínglǐxiāng	trunk
兴趣	xìngqù	interested
熊猫	xióngmāo	panda
需要	xūyào	need
选择	xuǎnzé	to choose
眼镜	yǎnjìng	glasses
要求	yāoqiú	requirements
爷爷	yéye	grandpa
一定	yīdìng	certain
一共	yīgòng	a total of
一会儿	yīhuìr	while
一样	yīyàng	as
以后	yǐhòu	after
以前	yǐqián	previously
以为	yǐwéi	that
一般	yībān	general
一边	yībiān	side
一直	yīzhí	been
音乐	yīnyuè	music
银行	yínháng	bank
应该	yīnggāi	should
影响	yǐngxiǎng	impact
用	yòng	to use
游戏	yóuxì	game
有名	yǒumíng	famous
又	yòu	and
遇到	yùdào	encountered
愿意	yuànyì	willing
月亮	yuèliang	moon
越	yuè	more
云	yún	cloud
站	zhàn	station
长	zhǎng	long
长大	chángdà	grow
着急	zháojí	anxious
照顾	zhàogu	care
照片	zhàopiàn	photo
照相机	zhàoxiàngjī	camera
只	zhǐ	only
中间	zhōngjiān	middle
终于	zhōngyú	finally
种	zhǒng	[cl.species]
重要	zhòngyào	important
周末	zhōumò	weekend
主要	zhǔyào	main
祝	zhù	to wish
注意	zhùyì	note
字典	zìdiǎn	dictionary
自己	zìjǐ	their
总是	zǒngshì	always	
最近	zuìjìn	recently	
作业	zuòyè	job	
作用	zuòyòng	role

爱情	àiqíng	love
安排	ānpái	arrangements
安全	ānquán	safety
暗	àn	dark
按时	ànshí	time
按照	ànzhào	by
笨	bèn	stupid
笔记本	bǐjìběn	notebook
毕业	bìyè	graduation
遍	biàn	times
标准	biāozhǔn	standard
表达	biǎodá	expression
表格	biǎogé	table
表扬	biǎoyáng	recognition
饼干	bǐnggān	biscuits
并且	bìngqiě	and
博士	bóshì	doctor
不但	bùdàn	not only
不过	bùguò	but
不得不	bùdébù	had
不管	bùguǎn	whether
不仅	bùjǐn	not only
部分	bùfen	part
擦	cā	rub
猜	cāi	guess
材料	cáiliào	material
参观	cānguān	visit
差别	chābié	difference
差不多	chàbuduō	almost
尝	cháng	try
长城	chángchéng	wall
长江	chángjiāng	Yangtze
场	chǎng	field
超过	chāoguò	more than
吵	chǎo	noisy
乘坐	chéngzuò	take
成功	chénggōng	successful
成熟	chéngshú	mature
成为	chéngwéi	become
诚实	chéngshí	honest
吃惊	chījīng	surprised
重新	chóngxīn	re
出差	chūchāi	travel
出发	chūfā	starting
出生	chūshēng	born
传真	chuánzhēn	fax
窗户	chuānghu	windows
词典	cídiǎn	dictionary
从来	cónglái	never
粗心	cūxīn	careless
答案	dáàn	the answer
打扮	dǎban	dress
打扰	dǎrǎo	disturb
打针	dǎzhēn	injection
大概	dàgài	probably
大使馆	dàshǐguǎn	embassy
大约	dàyuē	about
戴	dài	wear
代表	dàibiǎo	representative
代替	dàitì	instead of
大夫	dàfū	doctor
当	dāng	when
当地	dāngdì	local
当时	dàngshí	at that time
刀	dāo	knife
导游	dǎoyóu	guide
到处	dàochù	everywhere
到底	dàodǐ	in the end
道歉	dàoqiàn	apology
得意	déyì	proud
等	děng	to wait
底	dǐ	at the end of
地球	dìqiú	earth
掉	diào	out
调查	diàochá	survey
丢	diū	lost
动作	dòngzuò	action
堵车	dǔchē	traffic-jam
肚子	dùzi	stomach
断	duàn	off
对	duì	for
对话	duìhuà	dialogue
对面	duìmiàn	opposite
顿	dùn	dayton
朵	duǒ	flower
而	ér	and
儿童	értóng	children
发	fà	hair
发生	fāshēng	occurred
发展	fāzhǎn	development
法律	fǎlǜ	legal
翻译	fānyì	translation
烦恼	fánnǎo	trouble
反对	fǎnduì	against
反映	fǎnyìng	reflect
范围	fànwéi	range
方法	fāngfǎ	method
方面	fāngmiàn	in
方向	fāngxiàng	direction
访问	fǎngwèn	access
放弃	fàngqì	give
放暑假	fàngshǔjià	summer vacation
分之	fēnzhī	were
丰富	fēngfù	rich
风景	fēngjǐng	landscape
否则	fǒuzé	otherwise
符合	fúhé	meet
富	fù	rich
父亲	fùqin	father
复印	fùyìn	copy
复杂	fùzá	complex
负责	fùzé	responsible
改变	gǎibiàn	change
感动	gǎndòng	moved
感觉	gǎnjué	feeling
感情	gǎnqíng	feelings
感谢	gǎnxiè	thank
干	gàn	dry
刚刚	gānggāng	just
高级	gāojí	senior
个子	gèzi	sub
公里	gōnglǐ	km
工具	gōngjù	tools
工资	gōngzī	wages
共同	gòngtóng	common
够	gòu	enough
购物	gòuwù	shopping
孤单	gūdān	alone
估计	gūjì	estimated
鼓励	gǔlì	encourage
鼓掌	gǔzhǎng	applause
顾客	gùkè	customers
故意	gùyì	deliberately
挂	guà	hanging
关键	guānjiàn	key
观众	guānzhòng	audience
管理	guǎnlǐ	management
光	guāng	light
广播	guǎngbō	broadcast
广告	guǎnggào	advertising
逛	guàng	visiting
规定	guīdìng	provisions
国际	guójì	international
果然	guǒrán	sure enough
过	guo	over
过程	guòchéng	process
过去	guoqu	past
海洋	hǎiyáng	ocean
害羞	hàixiū	shy
寒假	hánjià	winter
汗	hàn	sweat
航班	hángbān	flight
好处	hǎochu	benefits
好像	hǎoxiàng	like
号码	hàomǎ	number
合格	hégé	qualified
合适	héshì	appropriate
盒子	hézi	box
猴子	hóuzi	monkey
厚	hòu	thick
后悔	hòuhuǐ	regret
后来	hòulái	later
忽然	hūrán	suddenly
护士	hùshi	nurses
互相	hùxiāng	each
花	huā	flower
怀疑	huáiyí	doubt
回忆	huíyì	memories
活动	huódòng	activities
活泼	huópo	lively
火	huǒ	fire
获得	huòdé	get
基础	jīchǔ	based
激动	jīdòng	excited
积极	jījí	positive
积累	jīlěi	accumulation
极其	jíqí	extremely
及时	jíshí	timely
集合	jíhé	collection
即使	jíshǐ	even
寄	jì	send
记者	jìzhě	reporters
计划	jìhuà	plan
既然	jìrán	since
技术	jìshù	technology
继续	jìxù	continue
家具	jiāju	furniture
加班	jiābān	overtime
加油站	jiāyóuzhàn	stations
假	jiǎ	false
价格	jiàgé	price
坚持	jiānchí	adhere
减肥	jiǎnféi	weight
减少	jiǎnshǎo	reduce
将来	jiānglái	future
奖金	jiǎngjīn	bonus
降低	jiàngdī	reduce
交	jiāo	cross
交流	jiāoliú	exchange
交通	jiāotōng	transportation
骄傲	jiāoào	proud
饺子	jiǎozi	dumplings
教授	jiàoshòu	professor
教育	jiàoyù	education
接受	jiēshòu	acceptance
结果	jiéguǒ	results
解释	jiěshì	explained
紧张	jǐnzhāng	tension
进行	jìnxíng	for
禁止	jìnzhǐ	prohibited
精彩	jīngcǎi	wonderful
精神	jīngshen	spirit
经济	jīngjì	economic
经历	jīnglì	experience
经验	jīngyàn	experience
京剧	jīngjù	opera
警察	jǐngchá	police
竟然	jìngrán	even
竞争	jìngzhēng	competition
镜子	jìngzi	mirror
究竟	jiūjìng	what
举办	jǔbàn	held
距离	jùlí	distance
开玩笑	kāiwánxiào	Joke
看法	kànfǎ	view
考虑	kǎolǜ	consider
棵	kē	trees
科学	kēxué	science
咳嗽	késou	cough
可怜	kělián	poor
可是	kěshì	but
可惜	kěxī	unfortunately
肯定	kěndìng	sure
空气	kōngqì	air
恐怕	kǒngpà	to be afraid
苦	kǔ	bitter
困	kùn	trapped
困难	kùnnan	difficult
扩大	kuòdà	expand
拉	lā	pull
垃圾桶	lājītǒng	trash
辣	là	spicy
来不及	láibují	too late
来得及	láidejí	time to
懒	lǎn	lazy
浪费	làngfèi	waste
浪漫	làngmàn	romantic
老虎	lǎohǔ	tiger
冷静	lěngjìng	cool
礼拜天	lǐbàitiān	sunday
礼貌	lǐmào	courtesy
理发	lǐfà	barber
理解	lǐjiě	understand
理想	lǐxiǎng	ideal
力气	lìqi	effort
例如	lìrú	for example
俩	liǎng	Both
连	lián	even
联系	liánxì	contact
凉快	liángkui	cool
亮	liàng	light
聊天	liáotiān	chat
另外	lìngwài	in addition
留	liú	stay
留学	liúxué	study
流泪	liúlèi	tears
流利	liúlì	fluent
乱	luàn	chaos
律师	lǜshī	lawyers
麻烦	máfan	trouble
马虎	mǎhu	sloppy
满	mǎn	full
毛巾	máojīn	towel
美丽	měilì	beautiful
密码	mìmǎ	password
免费	miǎnfèi	free
民族	mínzú	national
母亲	mǔqin	mother
目的	mùdì	purpose
耐心	nàixīn	patience
难	nàn	difficult
难道	nándào	do
难受	nánshòu	uncomfortable
内	nèi	within
内容	nèiróng	content
能力	nénglì	ability
年龄	niánlíng	age
农村	nóngcūn	rural
弄	nòng	get
暖和	nuǎnhuo	warm
偶尔	ǒu'ěr	occasionally
排列	páiliè	arrange
判断	pànduàn	determine
陪	péi	accompany
批评	pīpíng	criticism
皮肤	pífū	skin
脾气	píqi	temper
篇	piān	articles
骗	piàn	lie
乒乓球	pīngpāngqiú	ping-pong
平时	píngshí	usually
瓶子	píngzi	bottle
破	pò	broken
普遍	pǔbiàn	generally
其次	qícì	second
其实	qíshí	in fact
其中	qízhōng	which
起飞	qǐfēi	off
起来	qǐlái	up
气候	qìhòu	climate
千万	qiānwàn	10 million
签证	qiānzhèng	visa
墙	qiáng	wall
敲	qiāo	knock
桥	qiáo	bridge
巧克力	qiǎokèlì	chocolate
亲戚	qīnqi	relatives
轻	qīng	light
轻松	qīngsōng	easy
情况	qíngkuàng	situation
请假	qǐngjià	leave
请客	qǐngkè	treat
穷	qióng	poor
区别	qūbié	difference
取	qǔ	take
全部	quánbù	all
缺点	quēdiǎn	disadvantages
缺少	quēshǎo	lack
却	què	but
确实	quèshí	indeed
群	qún	group
裙子	qúnzi	skirt
然而	rán'ér	however
热闹	rènao	lively
人民币	rénmínbì	RMB
任何	rènhé	any
任务	rènwu	task
扔	rēng	throw
仍然	réngrán	still
日记	rìjì	diary
入口	rùkǒu	entrance
软	ruǎn	soft
散步	sànbù	walking
森林	sēnlín	forest
沙发	shāfā	sofa
商量	shāngliang	discuss
伤心	shāngxīn	sad
稍微	shāowēi	slightly
社会	shèhuì	social
深	shēn	deep
申请	shēnqǐng	application
甚至	shènzhì	even
生活	shēnghuó	life
生命	shēngmìng	life
省	shěng	province
剩	shèng	left
失败	shībài	failure
师傅	shīfu	master
湿润	shīrùn	moist
狮子	shīzǐ	lion
十分	shífēn	very
时间	shíjiān	time
实际	shíjì	actual
实在	shízài	it
食品	shípǐn	food
使用	shǐyòng	use
试	shì	test
市场	shìchǎng	market
适合	shìhé	for
适应	shìyìng	adapt
世纪	shìjì	century
收	shōu	received
收入	shōurù	income
收拾	shōushi	pack
首都	shǒudū	capital
首先	shǒuxiān	first
受不了	shòubùliǎo	stand
受到	shòudào	by
售货员	shòuhuòyuán	sales
输	shū	lose
数量	shùliàng	number
数字	shùzì	digital
帅	shuài	command
顺便	shùnbiàn	by the way
顺利	shùnlì	smooth
顺序	shùnxù	order
说明	shuōmíng	description
硕士	shuòshì	master
死	sǐ	death
速度	sùdù	speed
塑料袋	sùliàodài	plastic bag
酸	suān	acid
算	suàn	count
随便	suíbiàn	just
孙子	sūnzi	grandson
所有	suǒyǒu	all
抬	tái	lift
台	tái	Taiwan
态度	tàidu	attitude
谈	tán	about
弹钢琴	tángāngqín	piano
汤	tāng	tom
躺	tǎng	lying
趟	tàng	times
讨论	tǎolùn	discussion
讨厌	tǎoyàn	hate
特点	tèdiǎn	features
提供	tígōng	provide
提前	tíqián	advance
提醒	tíxǐng	remind
填空	tiánkòng	fill in the blank
条件	tiáojiàn	conditions
停止	tíngzhǐ	stop
挺	tǐng	very
通过	tōngguò	by
通知	tōngzhī	notice
同情	tóngqíng	sympathy
推	tuī	push
推迟	tuīchí	delayed
脱	tuō	off
袜子	wàzi	socks
完全	wánquán	completely
往	wàng	to
往往	wǎngwǎng	often
网球	wǎngqiú	tennis
网站	wǎngzhàn	website
危险	wēixiǎn	dangerous
味道	wèidao	taste
温度	wēndù	temperature
文章	wénzhāng	articles
握手	wòshǒu	handshake
污染	wūrǎn	pollution
无	wú	nothing
无聊	wúliáo	boring
无论	wúlùn	whether
误会	wùhuì	misunderstanding
西红柿	xīhóngshì	tomatoes
吸引	xīyǐn	attract
洗衣机	xǐyījī	washing
咸	xián	salty
现代	xiàndài	modern
羡慕	xiànmù	envy
限制	xiànzhì	limit
香	xiāng	hong
相反	xiāngfǎn	instead
详细	xiángxì	detailed
响	xiǎng	ring
消息	xiāoxi	news
小姐	xiǎojiě	miss
小说	xiǎoshuō	novel
笑话	xiàohua	joke
效果	xiàoguǒ	effect
辛苦	xīnkǔ	hard
心情	xīnqíng	mood
信任	xìnrèn	trust
信心	xìnxīn	confidence
信用卡	xìnyòngkǎ	credit card
兴奋	xīngfèn	excited
行	xíng	line
性别	xìngbié	sex
性格	xìnggé	character
幸福	xìngfú	happiness
修	xiū	repair
许多	xǔduō	many
血	xiě	blood
压力	yālì	pressure
牙膏	yágāo	toothpaste
亚洲	yàzhōu	asian
呀	ya	ah
盐	yán	salt
严格	yángé	strict
严重	yánzhòng	serious
研究生	yánjiūshēng	graduate
演出	yǎnchū	performance
演员	yǎnyuán	actor
阳光	yángguāng	sunshine
养成	yǎngchéng	develop
样子	yàngzi	look
邀请	yāoqǐng	invite
要求	yāoqiú	requirements
钥匙	yàoshi	key
也许	yěxǔ	perhaps
页	yè	page
叶子	yèzi	leaves
一切	yīqiè	all
以	yǐ	to
亿	yì	billion
艺术	yìshù	art
阴	yīn	yin
因此	yīncǐ	so
饮料	yǐnliào	beverages
引起	yǐnqǐ	cause
印象	yìnxiàng	impression
赢	yíng	win
硬	yìng	hard
勇敢	yǒnggǎn	brave
永远	yǒngyuǎn	always
优点	yōudiǎn	advantages
优秀	yōuxiù	excellent
幽默	yōumò	humor
由	yóu	by the
由于	yóuyú	as
尤其	yóuqí	in particular
有趣	yǒuqù	interestingly
友好	yǒuhǎo	friendly
友谊	yǒuyì	friendship
愉快	yúkuài	happy
于是	yúshì	so
与	yù	and
语法	yǔfǎ	syntax
语言	yǔyán	language
羽毛球	yǔmáoqiú	badminton
预习	yùxí	prep
圆	yuán	round
原来	yuánlái	the original
原谅	yuánliàng	forgive
原因	yuányīn	reason
约会	yuēhui	dating
允许	yǔnxǔ	allow
杂志	zázhì	magazine
咱们	zánmen	let
暂时	zànshí	temporarily
脏	zàng	dirty
责任	zérèn	responsibility
增加	zēngjiā	increase
增长	zēngzhǎng	growth
窄	zhǎi	narrow
招聘	zhāopìn	recruitment
真正	zhēnzhèng	real
整理	zhěnglǐ	finishing
整齐	zhěngqí	neat
正常	zhèngcháng	normal
正好	zhènghǎo	just
正确	zhèngquè	correct
正式	zhèngshì	official
证明	zhèngmíng	that
之	zhī	it
支持	zhīchí	support
知识	zhīshi	knowledge
直接	zhíjiē	direct
值得	zhíde	worth
植物	zhíwù	plant
职业	zhíyè	professional
指	zhǐ	means
只好	zhīhǎo	had
只要	zhǐyào	as long as
制造	zhìzào	manufacturing
至少	zhìshǎo	at least
质量	zhìliàng	quality
中文	zhōngwén	chinese
重点	zhòngdiǎn	focus
重视	zhòngshì	attention
周围	zhōuwéi	around
猪	zhū	pig
逐渐	zhújiàn	gradually
主动	zhǔdòng	active
主意	zhǔyi	idea
祝贺	zhùhè	congratulations
著名	zhùmíng	famous
专门	zhuānmén	special
专业	zhuānyè	professional
赚	zhuàn	make
撞	zhuàng	hit
准确	zhǔnquè	accurate
准时	zhǔnshí	time
仔细	zǐxì	carefully
自然	zìrán	natural
总结	zǒngjié	summary
租	zū	rent
组成	zǔchéng	composition
组织	zǔzhī	organization
嘴	zuǐ	mouth
最好	zuìhǎo	best
最后	zuìhòu	finally
尊重	zūnzhòng	respect
做生意	zuòshēngyì	business
