data,tag,descrizione,luogo,url,nota,immaginenota
20210430,TREK/FATTO,Italia Veneto Colli Euganei,"Facile trekking, circa 200m di dislivello, ad anello, da percorrere in 2 ore: include il Sentiero delle Facce, bassorilievi rappresentanti delle facce scolpite sulle rocce",https://www.komoot.it/tour/364037736,"Il percorso parte da Rovolon, di fianco alla chiesa, vicino al Piazzale degli Alpini, dove si può parcheggiare. Il percorso si snoda lungo un anello che arriva al Passo delle Fiorine.",""
20210430,TREK,Italia Veneto Verona,"Trekking, 600m di dislivello",https://www.montagnadiviaggi.it/2016/07/santuario-della-madonna-della-corona.html,"",""
20210422,BIKE,Italia Veneto Bassano Feltre,"Percorso molto pesaggistico",https://www.piste-ciclabili.com/itinerari/3924-feltre-bassano-del-grappa,"",""
20210420,BIKE,Italia Sicilia,"Sicily Divide: un percorso che attraversa la Sicilia da Trapani a Catania",https://sicilydivide.it/,"",""
20210303,BIKE/FATTO,Italia Veneto Padova Colli Euganei,"Anello dei Colli Euganei, quasi tutto in pianura, circa 65km",http://www.parcocollieuganei.com/itinerari-dettaglio.php?id_iti=3709,"",""
20210228,TREK/FATTO,Italia Veneto Padova Colli Euganei,"Sentiero del Giubileo, percorso attorno Praglia, con vista dall'alto del monastero. facile, 1h30m, 4km, 200m di dislivello.",http://www.parcocollieuganei.com/itinerari-dettaglio.php?id_iti=4473,"Percorso facile, seguendolo in senso antiorario, partendo dal comodo parcheggio del Monastero di Praglia, dopo una salita iniziale, gran parte del sentiero è in quota sul Monte Lonzina. In alternativa, all'altezza dell'ex parco, si può continuare il giro su strada e ci si ricongiunge al percorso ufficiale all'altezza della trattoria Al Capitello.",""
20210228,TREK/FATTO,Italia Veneto Padova Colli Euganei,"Sentiero del Sengiari, percorso vicino Praglia. Facile, 1h30m, 4km, 200m di dislivello.",http://www.caieste.org/Zainoinspalla/2015/sengiari%20lonzina/sengiari%20lonzina.htm,"Il sentiero si imbocca da Via Tramonte, a Tramonte, poco dopo Villa Rosa se si arriva da Abano Terme. Dopo una iniziale salita, il percorso rimane per lo più in quota. Si arriva al sentiero del Giubileo, e si può scendere sia verso il parcheggio di Praglia che passando di fronte alla Trattoria Al Capitello e alla Chiesa di San Giorgio di Tramonte.",""
20210303,TREK/FATTO,Italia Veneto Padova Colli Euganei,"Sentiero del Monte Cecilia: anello con partenza da Baone, a circa 50 metri dalla chiesa. Facile, 1h30, 5km, 170m di dislivello.",http://www.parcocollieuganei.com/itinerari-dettaglio.php?id_iti=986,"Si può parcheggiare davanti alla palestra che si trova una cinquantina di metri alla vostra sinistra guardando la chiesa. Da lì si imbocca via Val Lucerna e si segue l'anello in senso antiorario.",""
20200424,BIKE/FATTO,Italia Veneto Trentino,"Da Dobbiaco a Calalzo passando per Cortina, circa 65km, di cui i primi, da Dobbiaco a Cimabanche (1530m s.l.m.) in salita, circa 300m di dislivello",https://www.lifeintravel.it/vecchia-ferrovia-ciclabile-delle-dolomiti-in-bicicletta.html,"Una ciclabile molto bella, con un servizio di noleggio bici offerto da Papin Sport, che consente di prendere la bicicletta a Dobbiaco e lasciarla a Calalzo (o anche in stazioni intermedie). Il primo tratto è su strada bianca, salita costante ma leggera. Dopo Cimabanche è sostanzialmente tutta discesa",""
20200113,BIKE,Italia Veneto Padova,da Padova a Bovolenta,https://www.magicoveneto.it/Padovano/Acque/Canale-Roncajette-Padova-Bovolenta.htm,"",""
20200421,BIKE,,Virtual tour in bici,https://www.youtube.com/watch?v=eE0BSMkkcKI,"",""
20200420,BIKE,Italia Campania Cilento,Parco Nazionale del Cilento,https://www.lifeintravel.it/via-silente-in-bici-itinerario-ciclabile-nel-parco-nazionale-del-cilento.html,"",""
20200419,BIKE,Italia Lombardia Pavia,Ciclabile del naviglio di Bereguardo,https://www.lifeintravel.it/ciclabile-del-naviglio-di-bereguardo-in-bici-fino-a-pavia.html,"",""
20200418,BIKE,Italia Lombardia Milano,Ciclabile lungo l'Adda,https://www.lifeintravel.it/ciclabile-martesana-in-bicicletta-da-milano-fiume-adda.html,"",""
20200418,BIKE,"Italia Liguria La Spezia",Framura,https://www.paesionline.it/italia/natura-e-sport-framura/pista-ciclabile,"",""
20200412,BIKE,Italia Sardegna,Sardegna in MTB,https://www.lifeintravel.it/transardinia-viaggio-in-mtb-attraverso-la-sardegna.html,"",""
20200508,BIKE,Italia Sardegna,Alcune pillole per vedere la Sardegna in bicicletta,https://happytobehere.it/da-pedalare/sardegna-in-bici-da-corsa-le-tappe-da-non-perdere/,"",""
20200331,BIKE,Italia Lombardia Milano,Martesana,https://www.lifeintravel.it/ciclabile-dell-adda-in-tandem-con-leonardo.html,"",""
20200331,BIKE,Italia Trentino,Ciclabie dell'Adige,https://www.lifeintravel.it/ciclabile-adige-cicloturismo-trentino.html,"",""
20200306,BIKE,Italia Veneto Venezia,Da Lido delle Nazioni attraverso il bosco di Volano si arriva a Volano e da qui attraverso il boscone della Mesola fino a Goro. Oppure sempre da Volano si segue la via del Sale lungo il Volano e si arriva all'Abbazia di Pomposa e da qui fino a Codigoro,,"",""
20200302,BIKE,Germania Berlino,Lungo il muro di Berlino,https://www.viagginbici.com/cosa-fare-nel-weekend-in-bicicletta/dove-cera-il-muro-di-berlino-ora-ce-una-ciclabile,"",""
20200113,BIKE,Italia Veneto,Limena - Treviso Ostiglia - Bacchiglione - Padova - un anello che unisce varie ciclabili,,"Percorso ad anello che tocca le città di Padova, Piazzola sul Brenta e, a qualche chilometro di distanza Vicenza.<p>Partendo da Padova, seguendo il percorso in senso orario, il primo tratto, in direzione Vicenza, si snoda lungo la ciclabile del Bacchiglione, molto ben indicata, fino a Montegaldella.<p>Qui si abbandona il percorso standard e ci si immette nella ciclabile Treviso-Ostiglia, in direzione Treviso, e la si segue fino a Piazzola sul Brenta; anche in questo caso si abbandona il percorso ufficiale e ci si immette nella ciclabile del Brenta, che ci porta fino a Padova.<p>Per concludere, nei pressi di Limena si abbandona la ciclabile del Brenta, e si prosegue lungo il Brentella, nel tratto di ciclabile che fa parte dell'Anello fluviale di Padova, e ci si ritrova sulla ciclabile del Bacchiglione.","ciclozingarate/Anello-Padova-Montegaldella-Piazzola-55km.png"
20191020,BIKE/FATTO,Italia Veneto Valsugana,"Ciclabile Valsugana: parte da Trento e scende fino a Bassano del Grappa, da dove si può proseguire verso Padova sulla ciclabile del Brenta.",https://www.visittrentino.info/it/guida/tour/pista-ciclabile-valsugana_tour_7025924,"Il tratto da Caldonazzo a Cismon del Grappa è fattibile in giornata: una volta arrivati a Cismon in auto o con altro mezzo, si può prendere il treno fino Caldonazzo, e da qui noleggiare la bicicletta e scendere lasciando poi la bici a Cismon; sono presenti anche altre stazioni dove lasciare la bici.",""
20191010,BIKE/FATTO,Italia Veneto Treviso,Girasile,http://visittreviso.it/index.php/it/da-scoprire-def/itinerari-di-marca/itinerari-fra-sport-e-natura/in-bici-lungo-la-ciclovia-e4-il-girasile,"",""
20181212,BIKE,Italia Veneto,Non solo bici in Veneto,https://www.veneto.eu/,"",""
20181111,BIKE,"Italia Emilia Romagna Ravenna",Delta del Po,https://www.bikeitalia.it/in-bici-sul-delta-del-po-itinerario-e-informazioni/,"",""
20181010,BIKE,Italia Trentino,Val di Sole - pedalare tra le montagne,https://www.viagginbici.com/in-bici-con-i-bambini-e-famiglia/trentino-pedalare-nella-val-di-sole/,"",""
20180909,BIKE,Italia Veneto Treviso,Ciclabile del Sile - da Treviso a Jesolo,http://venetociclabile.it/greenway-del-sile-treviso-jesolo/,"",""
20180808,BIKE,Italia Veneto,Giro del Veneto - 300km,https://www.viagginbici.com/mountain-bike-percorsi-e-non-solo/cicloturismo-in-veneto-305-km-di-ciclabili-natura-arte-storia-mare-colli/,"",""
20180707,BIKE/FATTO,Italia Veneto Padova Vicenza,Ciclabile Padova-Vicenza - 35km pianeggianti,http://venetociclabile.it/la-ciclovia-vicenza-padova/,"",""
20180606,BIKE,Italia Friuli-Venezia-Giulia,Ciclabile Alpe-Adria da Tarvisio a Grado - bella e facile,https://alpe-adria-trail.com/it/,"",""
20180505,BIKE,Austria Italia,Da Grado a Salisburgo,https://www.tuttogreen.it/la-nuova-via-ciclabile-da-grado-a-salisburgo-e-la-migliore-deuropa/,"",""
20180404,BIKE/FATTO,Austria Italia,"Dobbiaco San Candido Lienz - un classico molto facile - 50km",https://www.valpusteria.com/sport/estate-attiva/ciclismo-piste-ciclabili/dobbiaco-lienz.asp,"",""
20180404,BIKE/FATTO,Austria Italia,"Dobbiaco San Candido Lienz - un classico molto facile - 50km - un video",https://www.youtube.com/watch?v=wrZLYeDQnP8,"",""
20180303,BIKE,Italia Veneto Padova,"Anello fluviale - circa 60km - in piano - un percorso ciclabile attorno alla città di Padova costeggiando i fiumi Bacchiglione, Brenta e Brentella",http://www.turismopadova.it/it/itinerario/padova-anello-fluviale-esterno,"",""
20180202,BIKE,Italia Lombardia Bergamo,Anello del Serio,https://www.piste-ciclabili.com/itinerari/5858-crema-anello-del-serio,"",""
20180101,BIKE,Italia Veneto Padova,Una passeggiata per Padova,https://www.blogdipadova.it/passeggiata-nella-vecchia-padova/,"",""
20200430,BIKE/FATTO,Italia Trentino Alto Adige Dobbiaco Brunico,"Un percorso bello e non impegnativo di circa 25km su ciclabile lungo il fiume Rienza, sulla continuazione, verso ovest, della San Candido Lienz",https://www.altapusteria.com/sport/estate-attiva/piste-ciclabili/ciclabile-val-pusteria/,"",""
20171212,BIKE/FATTO,Italia Veneto Padova,Giro Battaglia Monselice Este (con pausa alla Tigelleria hosteria dai colleghi) Arqua' Petrarca,https://ciclozingarate.altervista.org/anello-monselice-este-arqua-petrarca/,"",""
20200429,BIKE,UK,"Way of the Roses (Strada delle Rose), un percorso in Inghilterra da costa a cosata, ovveroda Morecambe a Bridlington, circa 250km su strade secondarie",https://www.viagginbici.com/mountain-bike-percorsi-e-non-solo/inghilterra-la-strada-delle-rose-in-bici/,"",""
20200429,BIKE,Italia Trentino Veneto Friuli,Un percorso sulle Dolomiti,https://www.lifeintravel.it/viaggio-in-bici-nord-est-italia.html,"",""
20200429,BIKE/FATTO,UK Chester,Da Chester ad Ellesmore Port lungo Shropshire Canal,https://www.cycle-route.com/routes/Ellesmere_Port_to_Chester_via_Shropshire_Canal-Cycle-Route-4281.html,"",""
20200430,BIKE/FATTO,Austria Germania Svizzera,"Giro del Lago Costanza, molto facile, da fare tutto o selezionarne qualche parte",https://www.lifeintravel.it/giro-del-lago-di-costanza-in-bici.html,"",""
20200502,BIKE,Italia Trentino,"Ciclovia della Valle Aurina e Val di Tures: da Casere a Brunico in bici",https://www.lifeintravel.it/ciclovia-valle-aurina-e-val-di-tures-in-bici-alto-adige.html,"",""
20200212,AGENZIA/FATTO,,"Girolibero e Zeppelin sono due faccie della stessa struttura: Girolibero è specializzata in viaggi in bici, sia in gruppo che in autonomia, Zeppelin offre anche trekking, barca e molto altro.",https://www.girolibero.it/,"Organizza tutta la logistica, trasporto bagagli, assistenza; sempre molto professionali ed efficienti.",""
20200212,AGENZIA/FATTO,,"Girolibero e Zeppelin sono due faccie della stessa struttura: Girolibero è specializzata in viaggi in bici, sia in gruppo che in autonomia, Zeppelin offre anche trekking, barca e altro.",https://www.zeppelin.it/,"Organizza tutta la logistica, trasporto bagagli, assistenza; sempre molto professionali ed efficienti.",""
20200212,AGENZIA/FATTO,,"Jonas, agenzia che offre viaggi in bici, trekking, barca e altro",https://www.jonas.it/,"Buoni servizi e molta scelta anche per finesettimana o vacanze brevi.",""
20200212,AGENZIA/FATTO,,"SlowActiveTour, Agenzia di Lecce specializzata in viaggi a piedi e in bici nel sud Italia",https://www.slowactivetours.com/,"La guida che ho conosciuto è molto professionale, efficiente e simpatica.",""
20200212,AGENZIA,,"Cyclando, Agenzia di Modena (redirect da verde-natura.it)",https://cyclando.com/,"",""
20170808,AGENZIA/FATTO,,"bbtravel.lt: Baltic Bike Travel, agenzia specializzata in viaggi in bici nei paesi baltici e dintorni",https://www.bbtravel.lt/,"Guida del viaggio molto preparata e supporto al seguito sempre molto disponibile.",""
20210310,AGENZIA,,"Agenzia di Montegrotto Terme, specializzata in giri in zona, con possibilità di affittare le bici",https://www.viaggiarecuriosi.com/,"",""
